zip_city_id;zip postal;city
237;1830;Machelen
238;1831;Diegem
239;1840;Londerzeel
240;1840;Malderen
241;1840;Steenhuffel
242;1850;Grimbergen
243;1851;Humbeek
244;1852;Beigem
245;1853;Strombeek-Bever
246;1860;Meise
247;1861;Wolvertem
248;1880;Kapelle-op-den-Bos
249;1880;Nieuwenrode
250;1880;Ramsdonk
251;1910;Berg
252;1910;Buken
253;1910;Kampenhout
254;1910;Nederokkerzeel
255;1930;Nossegem
256;1930;Zaventem
257;1931;Brucargo
258;1932;Sint-Stevens-Woluwe
259;1933;Sterrebeek
260;1934;Office Exchange Brussels Airport Remailing
261;1935;Corporate Village
262;1950;Kraainem
263;1970;Wezembeek-Oppem
264;1980;Eppegem
265;1980;Zemst
266;1981;Hofstade
267;1982;Elewijt
268;1982;Weerde
269;2000;Antwerpen
270;2018;Antwerpen
271;2020;Antwerpen
272;2030;Antwerpen
273;2040;Antwerpen
274;2040;Berendrecht
275;2040;Lillo
276;2040;Zandvliet
277;2050;Antwerpen
278;2060;Antwerpen
279;2070;Burcht
280;2070;Zwijndrecht
281;2099;Antwerpen x
282;2100;Deurne
283;2110;Wijnegem
284;2140;Borgerhout
285;2150;Borsbeek
286;2160;Wommelgem
287;2170;Merksem
288;2180;Ekeren
289;2200;Herentals
290;2200;Morkhoven
291;2200;Noorderwijk
292;2220;Hallaar
293;2220;Heist-op-den-Berg
294;2221;Booischot
295;2222;Itegem
296;2222;Wiekevorst
297;2223;Schriek
298;2230;Herselt
299;2230;Ramsel
300;2235;Houtvenne
301;2235;Hulshout
302;2235;Westmeerbeek
303;2240;Massenhoven
304;2240;Viersel
305;2240;Zandhoven
306;2242;Pulderbos
307;2243;Pulle
308;2250;Olen
309;2260;Oevel
310;2260;Tongerlo
311;2260;Westerlo
312;2260;Zoerle-Parwijs
313;2270;Herenthout
314;2275;Gierle
315;2275;Lille
316;2275;Poederlee
317;2275;Wechelderzande
318;2280;Grobbendonk
319;2288;Bouwel
320;2290;Vorselaar
321;2300;Turnhout
322;2310;Rijkevorsel
323;2320;Hoogstraten
324;2321;Meer
325;2322;Minderhout
326;2323;Wortel
327;2328;Meerle
328;2330;Merksplas
329;2340;Beerse
330;2340;Vlimmeren
331;2350;Vosselaar
332;2360;Oud-Turnhout
333;2370;Arendonk
334;2380;Ravels
335;2381;Weelde
336;2382;Poppel
337;2387;Baarle-Hertog
338;2390;Malle
339;2390;Oostmalle
340;2390;Westmalle
341;2400;Mol
342;2430;Eindhout
343;2430;Vorst
344;2431;Varendonk
345;2431;Veerle
346;2440;Geel
347;2450;Meerhout
348;2460;Kasterlee
349;2460;Lichtaart
350;2460;Tielen
351;2470;Retie
352;2480;Dessel
353;2490;Balen
354;2491;Olmen
355;2500;Koningshooikt
356;2500;Lier
357;2520;Broechem
358;2520;Emblem
359;2520;Oelegem
360;2520;Ranst
361;2530;Boechout
362;2531;Vremde
363;2540;Hove
364;2547;Lint
365;2550;Kontich
366;2550;Waarloos
367;2560;Bevel
368;2560;Kessel
369;2560;Nijlen
370;2570;Duffel
371;2580;Beerzel
372;2580;Putte
373;2590;Berlaar
374;2590;Gestel
375;2600;Berchem
376;2610;Wilrijk
377;2620;Hemiksem
378;2627;Schelle
379;2630;Aartselaar
380;2640;Mortsel
381;2650;Edegem
382;2660;Hoboken
383;2800;Mechelen
384;2800;Walem
385;2801;Heffen
386;2811;Hombeek
387;2811;Leest
388;2812;Muizen
389;2820;Bonheiden
390;2820;Rijmenam
391;2830;Blaasveld
392;2830;Heindonk
393;2830;Tisselt
394;2830;Willebroek
395;2840;Reet
396;2840;Rumst
397;2840;Terhagen
398;2845;Niel
399;2850;Boom
400;2860;Sint-Katelijne-Waver
401;2861;Onze-Lieve-Vrouw-Waver
402;2870;Breendonk
403;2870;Liezele
404;2870;Puurs
405;2870;Ruisbroek
406;2880;Bornem
407;2880;Hingene
408;2880;Mariekerke
409;2880;Weert
410;2890;Lippelo
411;2890;Oppuurs
412;2890;Sint-Amands
413;2900;Schoten
414;2910;Essen
415;2920;Kalmthout
416;2930;Brasschaat
417;2940;Hoevenen
418;2940;Stabroek
419;2950;Kapellen
420;2960;Brecht
421;2960;Sint-Job-in-'t-Goor
422;2960;Sint-Lenaarts
423;2970;'s Gravenwezel
424;2970;Schilde
425;2980;Halle
426;2980;Zoersel
427;2990;Loenhout
428;2990;Wuustwezel
429;3000;Leuven
430;3001;Heverlee
431;3010;Kessel Lo
432;3012;Wilsele
433;3018;Wijgmaal
434;3020;Herent
435;3020;Veltem-Beisem
436;3020;Winksele
437;3040;Huldenberg
438;3040;Loonbeek
439;3040;Neerijse
440;3040;Ottenburg
441;3040;Sint-Agatha-Rode
442;3050;Oud-Heverlee
443;3051;Sint-Joris-Weert
444;3052;Blanden
445;3053;Haasrode
446;3054;Vaalbeek
447;3060;Bertem
448;3060;Korbeek-Dijle
449;3061;Leefdaal
450;3070;Kortenberg
451;3071;Erps-Kwerps
452;3078;Everberg
453;3078;Meerbeek
454;3080;Duisburg
455;3080;Tervuren
456;3080;Vossem
457;3090;Overijse
458;3110;Rotselaar
459;3111;Wezemaal
460;3118;Werchter
461;3120;Tremelo
462;3128;Baal
463;3130;Begijnendijk
464;3130;Betekom
465;3140;Keerbergen
466;3150;Haacht
467;3150;Tildonk
